geography,Ethnic Group,Religion,area code,area name,Counts
IG - Ilford,All categories: Ethnic group, Buddhist,IG , Ilford,2029
IP - Ipswich,All categories: Ethnic group, Buddhist,IP , Ipswich,1689
KT - Kingston upon Thames,All categories: Ethnic group, Buddhist,KT , Kingston upon Thames,3768
L - Liverpool,All categories: Ethnic group, Buddhist,L , Liverpool,2546
LA - Lancaster,All categories: Ethnic group, Buddhist,LA , Lancaster,1186
LE - Leicester,All categories: Ethnic group, Buddhist,LE , Leicester,2823
LN - Lincoln,All categories: Ethnic group, Buddhist,LN , Lincoln,599
LS - Leeds,All categories: Ethnic group, Buddhist,LS , Leeds,2798
LU - Luton,All categories: Ethnic group, Buddhist,LU , Luton,1111
M - Manchester,All categories: Ethnic group, Buddhist,M , Manchester,6175
ME - Medway,All categories: Ethnic group, Buddhist,ME , Medway,2258
MK - Milton Keynes,All categories: Ethnic group, Buddhist,MK , Milton Keynes,2038
N - London N,All categories: Ethnic group, Buddhist,N , London N,8595
NE - Newcastle upon Tyne,All categories: Ethnic group, Buddhist,NE , Newcastle upon Tyne,3378
NG - Nottingham,All categories: Ethnic group, Buddhist,NG , Nottingham,4071
NN - Northampton,All categories: Ethnic group, Buddhist,NN , Northampton,2076
NR - Norwich,All categories: Ethnic group, Buddhist,NR , Norwich,2555
NW - London NW,All categories: Ethnic group, Buddhist,NW , London NW,6942
OL - Oldham,All categories: Ethnic group, Buddhist,OL , Oldham,906
OX - Oxford,All categories: Ethnic group, Buddhist,OX , Oxford,3101
PE - Peterborough,All categories: Ethnic group, Buddhist,PE , Peterborough,2094
PL - Plymouth,All categories: Ethnic group, Buddhist,PL , Plymouth,1633
PO - Portsmouth,All categories: Ethnic group, Buddhist,PO , Portsmouth,2908
PR - Preston,All categories: Ethnic group, Buddhist,PR , Preston,1235
RG - Reading,All categories: Ethnic group, Buddhist,RG , Reading,4547
RH - Redhill,All categories: Ethnic group, Buddhist,RH , Redhill,2063
RM - Romford,All categories: Ethnic group, Buddhist,RM , Romford,1934
S - Sheffield,All categories: Ethnic group, Buddhist,S , Sheffield,3573
SE - London SE,All categories: Ethnic group, Buddhist,SE , London SE,13502
SG - Stevenage,All categories: Ethnic group, Buddhist,SG , Stevenage,1604
SK - Stockport,All categories: Ethnic group, Buddhist,SK , Stockport,1697
SL - Slough,All categories: Ethnic group, Buddhist,SL , Slough,1905
SM - Sutton,All categories: Ethnic group, Buddhist,SM , Sutton,1630
SN - Swindon,All categories: Ethnic group, Buddhist,SN , Swindon,2054
SO - Southampton,All categories: Ethnic group, Buddhist,SO , Southampton,2760
SP - Salisbury,All categories: Ethnic group, Buddhist,SP , Salisbury,738
SR - Sunderland,All categories: Ethnic group, Buddhist,SR , Sunderland,510
SS - Southend-on-Sea,All categories: Ethnic group, Buddhist,SS , Southend-on-Sea,1689
ST - Stoke-on-Trent,All categories: Ethnic group, Buddhist,ST , Stoke-on-Trent,1929
SW - London SW,All categories: Ethnic group, Buddhist,SW , London SW,8515
SY - Shrewsbury,All categories: Ethnic group, Buddhist,SY , Shrewsbury,1072
TA - Taunton,All categories: Ethnic group, Buddhist,TA , Taunton,852
TD - Galashiels,All categories: Ethnic group, Buddhist,TD , Galashiels,31
TF - Telford,All categories: Ethnic group, Buddhist,TF , Telford,479
TN - Tonbridge,All categories: Ethnic group, Buddhist,TN , Tonbridge,2889
TQ - Torquay,All categories: Ethnic group, Buddhist,TQ , Torquay,1145
TR - Truro,All categories: Ethnic group, Buddhist,TR , Truro,1096
TS - Cleveland,All categories: Ethnic group, Buddhist,TS , Cleveland,1163
TW - Twickenham,All categories: Ethnic group, Buddhist,TW , Twickenham,5097
UB - Southall,All categories: Ethnic group, Buddhist,UB , Southall,3485
W - London W,All categories: Ethnic group, Buddhist,W , London W,7432
WA - Warrington,All categories: Ethnic group, Buddhist,WA , Warrington,1349
WC - London WC,All categories: Ethnic group, Buddhist,WC , London WC,719
WD - Watford,All categories: Ethnic group, Buddhist,WD , Watford,1444
WF - Wakefield,All categories: Ethnic group, Buddhist,WF , Wakefield,825
WN - Wigan,All categories: Ethnic group, Buddhist,WN , Wigan,593
WR - Worcester,All categories: Ethnic group, Buddhist,WR , Worcester,745
WS - Walsall,All categories: Ethnic group, Buddhist,WS , Walsall,852
WV - Wolverhampton,All categories: Ethnic group, Buddhist,WV , Wolverhampton,1268
YO - York,All categories: Ethnic group, Buddhist,YO , York,1875
CF - Cardiff,All categories: Ethnic group, Buddhist,CF , Cardiff,3202
LD - Llandrindod Wells,All categories: Ethnic group, Buddhist,LD , Llandrindod Wells,311
LL - Llandudno,All categories: Ethnic group, Buddhist,LL , Llandudno,1562
NP - Newport,All categories: Ethnic group, Buddhist,NP , Newport,1137
SA - Swansea,All categories: Ethnic group, Buddhist,SA , Swansea,2163
AL - St Albans,All categories: Ethnic group, Hindu,AL , St Albans,4528
B - Birmingham,All categories: Ethnic group, Hindu,B , Birmingham,32857
BA - Bath,All categories: Ethnic group, Hindu,BA , Bath,856
BB - Blackburn,All categories: Ethnic group, Hindu,BB , Blackburn,1078
BD - Bradford,All categories: Ethnic group, Hindu,BD , Bradford,5131
BH - Bournemouth,All categories: Ethnic group, Hindu,BH , Bournemouth,1997
BL - Bolton,All categories: Ethnic group, Hindu,BL , Bolton,6266
BN - Brighton,All categories: Ethnic group, Hindu,BN , Brighton,3435
BR - Bromley,All categories: Ethnic group, Hindu,BR , Bromley,5184
BS - Bristol,All categories: Ethnic group, Hindu,BS , Bristol,4783
CA - Carlisle,All categories: Ethnic group, Hindu,CA , Carlisle,399
CB - Cambridge,All categories: Ethnic group, Hindu,CB , Cambridge,3617
CH - Chester,All categories: Ethnic group, Hindu,CH , Chester,1381
CM - Chelmsford,All categories: Ethnic group, Hindu,CM , Chelmsford,3814
CO - Colchester,All categories: Ethnic group, Hindu,CO , Colchester,1603
CR - Croydon,All categories: Ethnic group, Hindu,CR , Croydon,25559
CT - Canterbury,All categories: Ethnic group, Hindu,CT , Canterbury,3887
CV - Coventry,All categories: Ethnic group, Hindu,CV , Coventry,16811
CW - Crewe,All categories: Ethnic group, Hindu,CW , Crewe,486
DA - Dartford,All categories: Ethnic group, Hindu,DA , Dartford,5859
DE - Derby,All categories: Ethnic group, Hindu,DE , Derby,3136
DH - Durham,All categories: Ethnic group, Hindu,DH , Durham,472
DL - Darlington,All categories: Ethnic group, Hindu,DL , Darlington,999
DN - Doncaster,All categories: Ethnic group, Hindu,DN , Doncaster,1891
DT - Dorchester,All categories: Ethnic group, Hindu,DT , Dorchester,363
DY - Dudley,All categories: Ethnic group, Hindu,DY , Dudley,2439
E - London E,All categories: Ethnic group, Hindu,E , London E,39426
EC - London EC,All categories: Ethnic group, Hindu,EC , London EC,592
EN - Enfield,All categories: Ethnic group, Hindu,EN , Enfield,6506
EX - Exeter,All categories: Ethnic group, Hindu,EX , Exeter,701
FY - Blackpool,All categories: Ethnic group, Hindu,FY , Blackpool,596
GL - Gloucester,All categories: Ethnic group, Hindu,GL , Gloucester,2210
GU - Guildford,All categories: Ethnic group, Hindu,GU , Guildford,9677
HA - Harrow,All categories: Ethnic group, Hindu,HA , Harrow,109289
HD - Huddersfield,All categories: Ethnic group, Hindu,HD , Huddersfield,1025
HG - Harrogate,All categories: Ethnic group, Hindu,HG , Harrogate,228
HP - Hemel Hempstead,All categories: Ethnic group, Hindu,HP , Hemel Hempstead,6040
HR - Hereford,All categories: Ethnic group, Hindu,HR , Hereford,216
HU - Hull,All categories: Ethnic group, Hindu,HU , Hull,939
HX - Halifax,All categories: Ethnic group, Hindu,HX , Halifax,534
IG - Ilford,All categories: Ethnic group, Hindu,IG , Ilford,32577
IP - Ipswich,All categories: Ethnic group, Hindu,IP , Ipswich,2008
KT - Kingston upon Thames,All categories: Ethnic group, Hindu,KT , Kingston upon Thames,13462
L - Liverpool,All categories: Ethnic group, Hindu,L , Liverpool,3249
LA - Lancaster,All categories: Ethnic group, Hindu,LA , Lancaster,606
LE - Leicester,All categories: Ethnic group, Hindu,LE , Leicester,68664
LN - Lincoln,All categories: Ethnic group, Hindu,LN , Lincoln,620
LS - Leeds,All categories: Ethnic group, Hindu,LS , Leeds,6960
LU - Luton,All categories: Ethnic group, Hindu,LU , Luton,7730
M - Manchester,All categories: Ethnic group, Hindu,M , Manchester,9390
ME - Medway,All categories: Ethnic group, Hindu,ME , Medway,4828
MK - Milton Keynes,All categories: Ethnic group, Hindu,MK , Milton Keynes,9909
N - London N,All categories: Ethnic group, Hindu,N , London N,23114
NE - Newcastle upon Tyne,All categories: Ethnic group, Hindu,NE , Newcastle upon Tyne,4767
NG - Nottingham,All categories: Ethnic group, Hindu,NG , Nottingham,8344
NN - Northampton,All categories: Ethnic group, Hindu,NN , Northampton,7903
NR - Norwich,All categories: Ethnic group, Hindu,NR , Norwich,1954
NW - London NW,All categories: Ethnic group, Hindu,NW , London NW,29351
OL - Oldham,All categories: Ethnic group, Hindu,OL , Oldham,4100
OX - Oxford,All categories: Ethnic group, Hindu,OX , Oxford,3795
PE - Peterborough,All categories: Ethnic group, Hindu,PE , Peterborough,3973
PL - Plymouth,All categories: Ethnic group, Hindu,PL , Plymouth,723
PO - Portsmouth,All categories: Ethnic group, Hindu,PO , Portsmouth,2711
PR - Preston,All categories: Ethnic group, Hindu,PR , Preston,4395
RG - Reading,All categories: Ethnic group, Hindu,RG , Reading,13278
